query_accession,sample,accession,experiment,sra_study,bioproject,spots,spots_with_mates,avgLength,size_MB
SRP256479,SRS6484446,SRR11549939,SRX8119841,SRP256479,PRJNA625518,17221838,0,76,445
SRP256479,SRS6484447,SRR11549940,SRX8119842,SRP256479,PRJNA625518,18368896,0,76,475
SRP256479,SRS6484396,SRR11550035,SRX8119791,SRP256479,PRJNA625518,13056540,13056540,152,681
SRP256479,SRS6484399,SRR11550038,SRX8119794,SRP256479,PRJNA625518,15239694,15239694,152,910
SRP256479,SRS6484441,SRR11550087,SRX8119836,SRP256479,PRJNA625518,101386661,101386661,92,2891
SRP256479,SRS6484442,SRR11550088,SRX8119837,SRP256479,PRJNA625518,108258059,108258059,92,3068
SRP256479,SRS7053374,SRR12280849,SRX8784719,SRP256479,PRJNA625518,15053071,0,76,418
SRP256479,SRS7053381,SRR12280856,SRX8784726,SRP256479,PRJNA625518,20917672,0,76,578
SRP256479,SRS6484394,SRR11550033,SRX8119789,SRP256479,PRJNA625518,15656259,15656259,152,821
SRP256479,SRS6484397,SRR11550036,SRX8119792,SRP256479,PRJNA625518,15255046,15255046,152,786