tissue,tissue_group
medial prefrontal cortex,cortex
mediastinal lymph node,lymph node
medium/small size pulmonary artery,vasculature
medullary brainstem,brain
megakaryoblast cells (MEG01),blood
melanoma cell,skin of body
melanoma subcutaneous tumor,skin of body
melanoma tumor,skin of body
melanoma,skin of body
"meninges, dura mater",central nervous system
"meninges, leptomeninges",central nervous system
meninges,central nervous system
Merkel cell carcinoma tumor digest,skin of body
Merkel cell carcinoma,skin of body
mESC and gastruloids,embryo
mesenchymal cells co-cultured with KPY organoids,other
mesenchymal cells co-cultured with Y organoids,other
mesenchymal cells,other
mesenchymal co-culture,other
mesenchymal stem cells,other
mesenchyme embryonic hind limb bud cells,hindlimb
mesendoderm derivatives,embryo
mesenteric lymph node,lymph node
mesenteric lymph nodes,lymph node
Midbrain - Ventral Tegmental Area - Substantia Nigra,brain
Mixed sample (Spleen/Lymphnode),immune system
Motor Cortex (MOp),brain
Motor Cortex,brain
mPRAT Adipose,adipose tissue
MY - MYsat-MYmot post,musculature
MY - MYsat-Mymot-vent ant,musculature
MY - MYsat-MYmot-vent post,musculature
MY - SPVC-SPVI-SPVO (specific brain regions),musculature
MY - SPVC-SPVI-SPVO,musculature
MY - VNC-PHY-DMX-XII,musculature
NK cell,immune system
NKTs (Natural Killer T cells),immune system
NKTs,immune system
NRAS-mutated melanoma PDX,skin of body
NSC differentiation cell culture,brain
OCCC tumor,ovary
OCI-Ly18 subcutaneous tumor (NSG),lymph node
OLF - AON-TT-DP-PIR-COA-NLOT-PAA-TR (specific brain regions),brain
OLF - AON-TT-DP-PIR-COA-NLOT-PAA-TR,brain
OLF - COA-PAA-NLOT-TR,brain
OLF - MOB-AOB,brain
ONS-76 tumour-spheroid,brain
ONS-76-cerebellar organoid coculture,brain
OSCC-GB primary tumor tissue,mucosa
OVCA420 cell line,ovary
P14 CD8 T cells,immune system
P5 Retinal,eye
P6 Terminal ileum and ascending colon biopsies,digestive system
Pancreatic Islets of Langerhans,pancreas
PAR-POST-PRE-SUB-ProS (specific brain regions),brain
PAR-POST-PRE-SUB-ProS,brain
PBMC (Peripheral Blood Mononuclear Cells),blood
PBMC 14 days post treatment,blood
PBMC 14d post treatment (M21),blood
PBMC 14d post treatment (M9),blood
PBMC 14d post treatment (T7),blood
PBMC 14d post treatment (T80),blood
PBMC 180 days post treatment,blood
PBMC 180d post treatment (M28),blood
PBMC 180d post treatment,blood
PBMC 270 days post treatment,blood
PBMC 30 days post treatment,blood
PBMC 30d post treatment (M72),blood
PBMC 30d post treatment (M74),blood
PBMC 30d post treatment (M92),blood
PBMC 30d post treatment,blood
PBMC 360 days post treatment,blood
PBMC 360d post treatment (M56),blood
PBMC 90 days post treatment,blood
PBMC 90d post treatment (M34),blood
PBMC 90d post treatment (M65),blood
PBMC 90d post treatment (M90),blood
PBMC 90d post treatment (T78),blood
PBMC 90d post treatment (T84),blood
PBMC Baseline (M13),blood
PBMC Baseline (M15),blood
PBMC Baseline (M17),blood
PBMC Baseline (M2),blood
PBMC Baseline (M24),blood
PBMC Baseline (M86),blood
PBMC Baseline (T2),blood
PBMC Baseline (T22),blood
PBMC Baseline (T52),blood
PBMC Baseline (T54),blood
PBMC Baseline (T85),blood
PBMC from 2 donors,blood
PBMC from Healthy control (M49),blood
PBMC from healthy control,blood
PBMC from peripheral blood,blood
PBMC Healthy control (M47),blood
PBMC Healthy control (T50),blood
PBMC isolated from blood,blood
PBMC,blood
PBMCs (Peripheral Blood Mononuclear Cells),blood
PBMCs and iPSCs,blood
PBMCs,blood
PDAC (Pancreatic Ductal Adenocarcinoma),pancreas
PDAC tumor,pancreas
PDAC tumors,pancreas
PDAC,pancreas
PDO harvested at day 61,other
PDX mammary tumor,breast
PDX meningioma,brain
PDX organoid,other
PDX-GIC-sample,brain
Percoll density separated tumor,other
Peripheral blood (NSG),blood
Peripheral Blood and Bone Marrow,blood; bone marrow
Peripheral blood and Prostate,blood; prostate gland
Peripheral Blood Lymphocytes (PBL),blood
Peripheral Blood Mononuclear Cells (PBMC) 90 days post treatment,blood
"Peripheral Blood Mononuclear Cells (PBMC), CD4 enriched",blood
Peripheral Blood Mononuclear Cells (PBMC),blood
Peripheral blood mononuclear cells (PBMC),blood
Peripheral Blood Mononuclear Cells (PBMCs),blood
Peripheral blood mononuclear cells (PBMCs),blood
Peripheral blood mononuclear cells,blood
"Peripheral blood, CD4+ CD26- T cells",blood
Peripheral Blood,blood
"Peritoneal Cavity, Spleen",spleen
Peyer's patch,small intestine
Pharyngeal Endoderm (PE),embryo
PL-ILA-ORB (specific brain region),brain
Plerixafor mobilized HSPCs,bone marrow
PNET tumor,brain
PONS - Pmot-Psat ant,brain
PONS - Pmot-Psat post,brain
PONS - Psen,brain
Primary CD25+CD127-Treg,immune system
Primary CD4 cells,immune system
Primary CD4+ T cells,immune system
Primary Hematopoietic Stem and Progenitor Cells (HSPCs),bone marrow
Primary human CD4+ T cells (blood),blood
PT organoid (from colorectal cancer),colon
PT organoid,other
PTCC organoid,other
PTLp (Posterior Thalamic Nucleus),brain
PTN organoid,other
PVN (Paraventricular Nucleus),brain
"RD (ATCC, CCL-136) cell line",musculature
ReNcell VM human neural progenitor,brain
Retrosplenial Cortex (RSP),cortex
RM1 Tumors,other
RMA-Qa1KO Tumor,other
RPE/choroid,eye
S1 cortex,cortex
SAP developmental cells,other
Schwannoma cells,peripheral nervous system
SHH MB tumors with MBEN histology,brain
Sigma,other
SS-GU-VISC,other
SSp (Somatosensory Cortex),cortex
SSs-GU-VISC-AIp,other
STR - LSX,brain
STR - sAMY (Striatum - Amygdala),brain
STR - STRd,brain
STR - STRv,brain
SW1 melanoma tumors,skin of body
T cell,immune system
T cells cultured in extracellular matrices,immune system
T cells from PBMCs,immune system
T cells,immune system
T47D cell line,breast
TCR negative T cells,immune system
TEa-PERI-ECT,other
TH - Anterior (part of the brain),brain
TH - Anterior,brain
TH - LGd-IGL-LGv,brain
TH - MG-SPFp-PP-POL-SGN-PoT-PIL,brain
TH - Middle-lateral (part of the adult brain),brain
TH - Middle-lateral,brain
TH - Middle-medial,brain
TH - PO-Eth,brain
TH - Posterior (Tissue from the adult mouse brain),brain
TH - Posterior,brain
TH - RE-RH-CM-IAM-SMT-PR-Xi,brain
TH (Tyrosine Hydroxylase),brain
TH,brain
TILs from organoid-derived primary colorectal cancer (CRC),colon
Tissue Resident Memory T cells,immune system
Undifferentiated Pleiomorphic Sarcoma tumor,other
VAD ERG (Vascular Dementia Endothelial),vasculature
Venus-negative TECs,immune system
Venus-positive TECs,immune system
VIS-PTLp (part of the adult brain),cortex
VIS-PTLp,cortex
VISm (Visual cortex),cortex
VISp (Visual Cortex),cortex
VISp (Visual cortex),cortex
WDLPS,adipose tissue
WT organoid,other
XEN (Extraembryonic endoderm stem cell),embryo
XEN-iPS,embryo
XEN,embryo
human ascending somatosensory assembloids,central nervous system
human ascending somatosensory assembloids (hASA),central nervous system
human bronchial epithelial cells,respiratory system
human bronchial epithelial cells (HBE),respiratory system
human dermal fibroblasts,skin of body
human embryo and endometrial scaffold,embryo
human embryoids,embryo
human embryonic stem cells,embryo
human embryonic stem cells (hESC),embryo
human fetal osteoblasts (hFOB 1.19),skeletal system
human intestinal organoid,intestine
human liver bud organoid (HLBO),liver
human mammary epithelial cells,breast
human neural stem cells,central nervous system
hypodermis,adipose tissue
hypothalamic cells,brain
hypothalamus,brain
iBAT Adipose,adipose tissue
idiopathic subglottic tracheal stenosis,respiratory system
iDiscoid embryo model,embryo
ileal pouch,small intestine
ileum,small intestine
ileum IEL,small intestine
ileum IEL (Intraepithelial lymphocytes),small intestine
iMeLC (induced Mesodermal-like Cells),other
immune cells,immune system
in vitro,other
in vitro culture,other
in vitro differentiated cells,other
incisor tissue,skeletal system
incisor tooth,skeletal system
induced from hADSC,adipose tissue
induced from human adipose-derived stem cells (hADSC),adipose tissue
induced pluripotent stem cell,other
induced pluripotent stem cell-derived cardiomyocytes,heart
induced pluripotent stem cells,other
induced pluripotent stem cells (iPSCs),other
induced Treg (Regulatory T cells),immune system
inferior frontal gyrus,brain
inferior frontal gyrus (IFG),brain
inferior vena cava,vasculature
infrarenal segment of the aorta,vasculature
inguinal lymph node,lymph node
inguinal lymph nodes,lymph node
inguinal white adipose,adipose tissue
inguinal white adipose tissue,adipose tissue
inguinal white adipose tissue (iWAT),adipose tissue
injured heart,heart
injured heart tissue,heart
inner cell mass,embryo
inner cell mass (from brain organoid),embryo
inner ear cochlea,sensory system
inner ear organoids,sensory system
interscapular brown adipose tissue,adipose tissue
intervertebral disc nucleus pulposus cells,skeletal system
intervertebral discs,skeletal system
intestinal enriched crypts,intestine
intestinal epithelial cells,intestine
intestinal epithelium,intestine
intestinal organoid,intestine
intestine,intestine
intestine (ileum),small intestine
intracranial tumors,brain
intraembryonic mouse embryo,embryo
iPS-derived Brain Organoids,central nervous system
iPS-derived Retinal Organoids,eye
iPSC,other
iPSC-derived astrocyte,central nervous system
iPSC-derived CD4+ T cells,immune system
iPSC-derived culture,other
iPSC-derived microglia,central nervous system
iPSC-derived T cells,immune system
iPSC-derived Tenocytes,tendon of semitendinosus
iPSC-Treg,immune system
iPSCs,other
iPSCs (induced pluripotent stem cells),other
ischemic muscles,musculature
islet cells,pancreas
isolated islets,pancreas
iXEN,embryo
joint,skeletal system
joint (IPFP/synovium cells),skeletal system
kidney,kidney
kidney biopsy,kidney
kidney biopsy tissue,kidney
kidney cortex,kidney
kidney grafts,kidney
kidney organoid,kidney
kidney organoids,kidney
kidney proximal tubule,kidney
labial salivary gland,exocrine gland
lacrimal gland,exocrine gland
lamina propria,lamina propria
large intestinal lamina propria,lamina propria
large intestine,large intestine
larynx,respiratory system
lateral amygdala,brain
"lateral nasal gland, nasal mucosa",nose
left atrial tissue,heart
mesenteric lymph nodes and peritoneum,lymph node
mesentery metastasis of intestinal adenocarcinoma,intestine
metastatic tumor in the liver,liver
"metastatic tumor in the liver, breast cancer",liver
methanol-fixed MDCK-SIAT1 and infected A549 cells,other
micro-patterned airway epithelial cells,respiratory system
micro-small intestinal tissue,small intestine
microfluidic human skin equivalents,skin of body
microfluidic skin equivalent (HSE),skin of body
microfluidic skin equivalents,skin of body
mid thoracic spinal cord,spinal cord
mid-gut,small intestine
mid-secretory endometrium,uterus
midbrain,brain
midbrain - inferior colliculus,brain
midbrain organoids,brain
mineralized and demineralized bone scaffolds,skeletal system
mineralized bone scaffold,skeletal system
minor labial salivary gland,exocrine gland
mixed,other
"mixed sample (melanoma, pancreatic cancer, non-small cell lung cancer)",other
"mixture of lung lymph node, mesenteric lymph node, lung",other
molar tooth,other
monocyte-derived macrophages,immune system
monocytes/macrophages,immune system
motor cortex,brain
mouse,other
mouse blastoid,embryo
"mouse brain, motor cortex, cingulate cortex",brain
"mouse cell line single cell, IDHmutant mouse glioma cell",brain
"mouse cell line single cell, IDHmutant mouse glioma cell NOTCH1 KO",brain
mouse embryo,embryo
"mouse embryo, cranial region",embryo
mouse embryoid bodies,embryo
mouse embryoid body from epiblast cell line,embryo
mouse embryonic AGM cells,embryo
mouse embryonic stem cells,embryo
mouse embryonic stem cells and gastruloids,embryo
mouse gastruloid,embryo
murine embryonic fibroblasts,embryo
muscle,musculature
myocardium,heart
myometrial cells,uterus
myometrium,uterus
nasal,nose
nasal associated lymphoid tissue and olfactory epithelium,nose
nasal epithelial and immune cells,nose
nasal epithelial cells,nose
nasal inferior turbinate,nose
nasal mucosa,nose
"nasal mucosa, respiratory mucosa",nose
natural killer (NK) cells,immune system
natural killer cells,immune system
neonatal mouse derma,skin of body
neonatal mouse dermis,skin of body
neonatal oviduct,fallopian tube
neonatal uterus,uterus
neoplasm,other
neoplasm (tumor tissue from melanoma),skin of body
neoplasm (tumor tissue),other
neoplasm (tumor),other
nervous tissue,central nervous system
nervous tissue formation,central nervous system
neural,central nervous system
neural cells,central nervous system
neural culture cells,central nervous system
neural organoid,brain
neural progenitor cells,central nervous system
neural progenitors,central nervous system
neural retina,eye
neural stem cells derived from the hippocampus,brain
neural tube cells,embryo
neural tube organoid,embryo
neural tube organoids,embryo
neuroblastoma cells (SH-SY5Y),peripheral nervous system
neuron,central nervous system
neurons and astrocytes derived from iPSCs,central nervous system
neurons differentiated from iPSCs,central nervous system
neutrophil,immune system
non mobilized HSCPs,bone marrow
non mobilized HSPCs,bone marrow
non tumor,other
non-draining lymph node (axillary),lymph node
non-draining lymph nodes,lymph node
normal appendix,large intestine
nose,nose
not applicable,other
not_applicable,other
nucleus pulposus,skeletal system
nucleus pulposus tissue,skeletal system
ocular,eye
ocular immune cells,eye
olfactory - piriform cortex,brain
olfactory and anterior olfactory nucleus,brain
olfactory bulb,brain
olfactory epithelium,nose
"olfactory mucosa, nasal mucosa",nose
olfactory region,nose
omental fat,omentum
omental white adipose tissue,omentum
omentum,omentum
oral cavity,mucosa
oral mucosa,mucosa
oral squamous cell carcinoma,mucosa
oral squamous cell carcinoma tissue,mucosa
orbitofrontal cortex,brain
organoid,other
organoids,other
orthotopic tumor,other
orthotopic tumor (PDA.7940B tumor cells),other
ossicles,skeletal system
osteosarcoma tumor,skeletal system
ovarian,ovary
ovary,ovary
oviduct,fallopian tube
oviduct (infundibulum and ampulla),fallopian tube
oviduct (isthmus and uterotubal junction),fallopian tube
palatine tonsil,immune system
pancreas,pancreas
pancreas metastasis,pancreas
pancreas tumor,pancreas
pancreatic,pancreas
pancreatic cancer organoid,pancreas
pancreatic cancer primary tumor,pancreas
pancreatic draining lymph nodes,lymph node
pancreatic draining lymph nodes (pLN),lymph node
pancreatic islet,pancreas
pancreatic islets,pancreas
pancreatic lymph node,lymph node
pancreatic lymph nodes,lymph node
pancreatic orthotopic tumor cells,pancreas
pancreatic tissue,pancreas
pancreatic tumor,pancreas
pancreatic tumor tissue,pancreas
papilloma,other
parathyroid adenoma cells,endocrine gland
paraventricular nucleus (PVN),brain
parietal cortex,brain
parietal pleura,pleura
parotid gland,exocrine gland
patient-derived AML cells,bone marrow
patient-derived neurospheres,brain
patient-derived xenograft,other
patient-derived xenograft (PDX) meningioma,brain
patient-derived xenograft AML cells,bone marrow
pelvic organs,reproductive system
percoll density separated tumor,other
periodontal ligament (PDL),skeletal system
periodontal tissue,skeletal system
periosteum,skeletal system
periovarian fat,adipose tissue
peripheral blood,blood
peripheral blood (NSG),blood
peripheral blood mononuclear cell,blood
peripheral blood mononuclear cell (PBMC),blood
peripheral blood mononuclear cells,blood
peripheral blood mononuclear cells (PBMC),blood
peripheral blood mononuclear cells (PBMCs),blood
peripheral blood mononuclear cells and bronchoalveolar lavage cells,other
peripheral blood mononuclear cells and tumor biopsies,other
"peripheral blood, synovium, connective tissue",other
peripheral nerve tumor,peripheral nervous system
peripheral region of retina,eye
peripheral venous blood,blood
"peritoneal cavity, spleen",other
peritoneal cells,other
peritoneal dialysis overnight effluent,other
peritoneal exudate,other
peritoneal lavage cells,other
peritoneal metastasis,other
peritoneum,other
perivascular adipose tissue,adipose tissue
periventricular white matter,brain
pituitary,endocrine gland
pituitary gland,endocrine gland
placenta,placenta
placenta villi,placenta
plantar skin,skin of body
plaque isolated cells,vasculature
plasma,blood
plasmablast,immune system
pleural effusion,pleural fluid
pleural mesothelioma,pleura
plexiform neurofibroma,peripheral nervous system
pluripotent stem cells-derived beta cells,pancreas
pluripotent stem cells-derived Î² cells,pancreas
pons,brain
pons/medulla,brain
popliteal lymph node,lymph node
post mortem human brain,brain
post-mortem tissue,other
posterior cerebellum,brain
posterior of eye,eye
postmortem human brain,brain
pre-manufacture T cells,immune system
pre-pouch ileum,small intestine
prefrontal cortex,brain
primary airway cells,respiratory system
primary breast tumor,breast
primary CD4 cells,immune system
primary cell culture,other
primary cells,other
primary cells (from PDX tumor samples),other
primary cells from PDX tumor samples,other
primary hematopoietic stem and progenitor cells (HSPCs),bone marrow
primary HSPC (Hematopoietic Stem and Progenitor Cells),bone marrow
primary human breast tissue,breast
primary human epididymis epithelial cells,reproductive system
primary motor cortex,brain
primary mouse embryonic fibroblasts,embryo
primary mouse embryonic fibroblasts (MEFs),embryo
primary osteosarcoma tumor tissue,skeletal system
primary patient-derived gliomasphere,brain
primary teeth,skeletal system
primary Treg (regulatory T cells),immune system
primary tumor,other
primed hESCs,embryo
primed induced pluripotent stem cells from adult human dermal fibroblasts,other
prostate,prostate gland
prostate cancer,prostate gland
prostate cancer cell line (C4-2B),prostate gland
prostate organoid,prostate gland
"prostate tumor, lymph node",prostate gland
"prostate tumor, primary",prostate gland
proximal colon,colon
rectum,large intestine
regenerative tissue,other
renal cell carcinoma,kidney
renal cells,kidney
renal organoids,kidney
reprogramming intermediate,other
resection,other
respiratory mucosa,mucosa
"respiratory mucosa, nasal mucosa",mucosa
rete ovarii and ovarian capsule,ovary
retina,eye
retina enriched sample,eye
retinal,eye
retinal epithelium,eye
retinal ganglion cells,eye
retinal organoid,eye
retinal organoids,eye
retinal pigment epithelium,eye
retrosplenial cortex,brain
"right brain hemisphere, minus cerebellum and olfactory bulb",brain
right ventricle,heart
rostral rhinal hub,brain
rotator cuff,musculature
s.c. tumor,skin of body
salivary gland,exocrine gland
salivary glands (parotid and submandibular),exocrine gland
sAMY (Subregion of the mouse brain),brain
scalp,scalp
schwannoma,peripheral nervous system
schwannoma cells,peripheral nervous system
sciatic nerve,peripheral nervous system
seminal vesicle,reproductive system
sentinel lymph node,lymph node
serum,blood
sigma,large intestine
sigma (colonic tissue),large intestine
single cell suspension from HCC,liver
skeletal muscle,musculature
skeletal muscle; flexor hallucis longus,musculature
skin,skin of body
skin (keloid tissue),skin of body
skin adipose,adipose tissue
skin epidermis,skin of body
skin fibroblast,skin of body
skin of body,skin of body
"skin of body, matched livers",skin of body
skin of prepuce of penis,skin of body
skin punch biopsy,skin of body
skin tumor,skin of body
skin-derived,skin of body
"skin, inner cell mass",skin of body
"skin, lymph node, tumor",skin of body
"skin, neoplasm",skin of body
skull,skeletal system
small intestinal epithelial villi,small intestine
small intestinal epithelium,small intestine
small intestinal lamina propria,small intestine
small intestine,small intestine
small intestine jejunum,small intestine
small intestine lamina propria,small intestine
small intestine LP,small intestine
small intestine tumor,small intestine
small intestine tumour,small intestine
solid tumors,other
somatic cells,other
somatic cells during chemical reprogramming stage II,other
somatosensory cortex,brain
sorted cell,other
spheroids,other
spinal cord,spinal cord
spinal cord (neonatal),spinal cord
spinal cord central canal region,spinal cord
spinal cord motor neuron organoid,spinal cord
spinal cords from E12.5 mice,spinal cord
spleen,spleen
spleen and lymph nodes,immune system
"spleen, mesenteric LN, inguinal LN, skin",immune system
"spleen, mesenteric lymph nodes, inguinal lymph nodes, skin",immune system
splenic dendritic cells,spleen
splenic T cells,spleen
splenocyte,spleen
splenocytes,spleen
stellate ganglia,peripheral nervous system
stem cell derived choroid plexus brain organoids,brain
stem cell-derived ETX embryoid,embryo
stem cell-derived oligodendrocyte progenitor cells,brain
stem cells,other
stembryo,embryo
stomach,stomach
stomach flush,stomach
striatum,brain
striatum - amygdala,brain
striatum - lateral striatum,brain
sub-cutaneous tumor,skin of body
subcutaneous inguinal adipose depot,adipose tissue
subcutaneous MC38 tumors,skin of body
subcutaneous melanoma,skin of body
subcutaneous tumor,skin of body
subcutaneous tumors,skin of body
subcutaneous tumour,skin of body
subcutaneous white adipose tissue,adipose tissue
subependymal zone,brain
subfornical organ (SFO),brain
subgalea,scalp
subgalea and epidural,scalp
subglottic tracheal tissue,respiratory system
"submandibular gland, spleen",other
submandibular salivary gland,exocrine gland
substantia nigra,brain
subventricular zone,brain
subventricular zone (adult brain),brain
superior colliculus,brain
supraclavicular brown adipose tissue,adipose tissue
syngeneic brain tumors,brain
syngeneic tumor model,other
synovial ankle/wrist joints,skeletal system
synovial fluid,skeletal system
synovial joint,skeletal system
synovial membrane,skeletal system
synovial tissue,skeletal system
synovium,skeletal system
synthetic-embryo,embryo
telencephalon medial pallium,brain
temporal cortex,brain
tendon injury,skeletal system
terminal ileum,small intestine
testes,testis
testis,testis
thalamic organoid,brain
thalamus,brain
third pharyngeal region cells,respiratory system
thoracic aorta,vasculature
thoracic wall,chest wall
thymic epithelial cells,immune system
thymic hematopoietic cells,immune system
thymic stromal cells,immune system
thymus,immune system
thyroid,endocrine gland
thyroid follicle organoid,endocrine gland
thyroid tumor,endocrine gland
thyroid tumor and adjacent normal thyroid,endocrine gland
tibialis anterior,musculature
tibialis anterior muscle,musculature
"tibialis anterior, gastrocnemius",musculature
tissue donors,other
tongue,tongue
tongue epithelium,tongue
tonsil,immune system
tonsil and blood,immune system
tonsillar cancer,immune system
tonsils,immune system
trabecular bone tissue,skeletal system
trabecular meshwork,eye
trachea,respiratory system
tracheal aspirate,respiratory system
tracheobronchial epithelium,respiratory system
transplanted cells,other
transplanted human intestinal organoids,intestine
transplanted mouse bone marrow,bone marrow
transverse colon,colon
traumatic ligament,skeletal system
trigeminal ganglia,peripheral nervous system
trophoectoderm,embryo
tubule epithelial cells,kidney
tumor,other
tumor (EMT6 tumors),other
tumor (schwannoma),peripheral nervous system
tumor (TIL),other
tumor and lymph nodes,other
tumor cells,other
tumor cells from glioblastoma,brain
tumor draining lymph nodes,lymph node
tumor infiltrating leukocytes,immune system
tumor microenvironment,other
tumor sample,other
tumor sample from OSCC patient,mucosa
tumor tissue,other
tumor tissue from EMT6 tumors,other
tumor tissue from FVB mouse mammary pad,breast
tumor-associated neutrophils from glioblastoma patients,immune system
tumor-distant normal lung,lung
tumor-draining lymph node (inguinal),lymph node
tumor-infiltrating lymphocytes,immune system
tumor-infiltrating lymphocytes (TIL),immune system
tumor-infiltrating lymphocytes (TIL) from NSCLC patients,immune system
tumor-infiltrating primary human CAR T cells,immune system
"tumor, CD45+ cells",immune system
tumour,other
tumour graft,other
tumour-infiltrating immune cells,immune system
turbinate,nose
umbilical cord,placenta
umbilical cord blood,blood
umbilical vein endothelial cell,vasculature
umbilical vein endothelial cell (HUVEC),vasculature
undifferentiated pleomorphic sarcoma,other
unguided neural organoid,brain
unsure,other
urine,urinary bladder
"urine-derived cells, peripheral blood mononuclear cells, tumor cells",other
urogenital sinus,reproductive system
uterine cells,uterus
uterine tissues,uterus
uterus,uterus
uterus (endometrium),uterus
uterus (myometrium),uterus
vagal ganglia,peripheral nervous system
vagus nerve ganglion,peripheral nervous system
vascular,vasculature
vascular allografts,vasculature
vastus lateralis,musculature
veingraft,vasculature
venous blood,blood
ventral lobe of the prostate,prostate gland
ventral midbrain,brain
ventral thalamic organoid,brain
ventricle,heart
ventricular cardiac fibroblasts,heart
ventricular tissue,heart
vestibular schwannoma,peripheral nervous system
vestibular schwannoma tumor,peripheral nervous system
villi,small intestine
visceral adipose tissue,adipose tissue
visual cortex,brain
visual cortex (VIS),brain
visual cortex (VISp),brain
vomeronasal neuroepithelium,sensory system
vomeronasal organ,sensory system
white adipose tissue,adipose tissue
white blood cells,blood
white matter,brain
white matter from frozen brain tissue,brain
white matter of the brain,brain
white matter tissues (corpus callosum and external capsules),brain
whole blood,blood
whole bone marrow cells,bone marrow
whole brain,brain
whole colon tumor,colon
whole cortex,brain
whole embryo,embryo
whole ileum,small intestine
"whole inner ear, only membranous labyrinth",sensory system
whole lung,lung
whole meniscus,skeletal system
whole pelvic ganglion,peripheral nervous system
whole placenta,placenta
whole skin,skin of body
whole testis,testis
whole uterus,uterus
whole-blood,blood
xenograft from murine bone marrow,bone marrow
yolk sac,yolk sac
yolk sac and placenta,yolk sac
2-cell mouse embryo,embryo
"3 layer spheroid channel 1, epithelial",other
3D co-cultured,other
3T3-L1 cell line (fibroblasts),other
"3T3-L1 cells (Immature adipocytes, adipocytes)",adipose tissue
Adult human dermal fibroblasts,skin of body
Area Postrema/NTS (Brain),brain
B cell,immune system
B cells from healthy controls,immune system
B cells from peripheral blood,blood
B-lymphoblastoid cell line,immune system
B16 tumors,skin of body
B16 tumour,skin of body
B16-F10 allografts,skin of body
BA9,brain
BA9+BA20+H,brain
BCC Tumor,skin of body
BM-MNCs,bone marrow
BM-MNCs (Bone Marrow Mononuclear Cells),bone marrow
Bone Marrow Derived Macrophages,bone marrow
Bone Marrow Derived Macrophages (BMDMs),bone marrow
Bone Marrow HSPC (CD34+),bone marrow
Bone Marrow Mononuclear Cells (BM-MNCs),bone marrow
Bone Marrow-Derived Macrophages (BMDMs),bone marrow
Brain (right hemisphere minus olfactory bulb and cerebellum),brain
C2C12,musculature
